#conf:ProGRU_30epochs_0.001lr_9449trainsize_498validsize
Epoch;Train_loss;Valid_loss
1;2.28852;30.14755
2;2.44416;8.16919
3;2.77169;11.42958
4;2.68668;15.76027
5;2.69943;15.88845
6;2.62998;12.50564
7;2.69142;14.74211
8;2.63930;14.58642
9;2.72933;15.07314
10;2.73361;14.96324
11;2.73367;15.24576
12;2.77233;15.81087
13;2.76283;15.82305
14;2.75112;15.35910
15;2.78593;15.58383
16;2.78995;16.02574
17;2.79048;16.05747
18;2.78872;16.04387
19;2.78483;15.98926
20;2.75675;15.81438
21;2.72728;15.12700
22;2.74477;15.27511
23;2.75742;15.32543
24;2.76236;15.55128
25;2.76785;15.59271
26;2.76124;15.67574
27;2.72731;15.30443
28;2.70879;14.79124
29;2.70464;14.61827
30;2.70445;14.62060
