#conf:ProTrans_30epochs_0.001lr_9449trainsize_498validsize
Epoch;Train_loss;Valid_loss
1;2.58994;32.53187
2;2.47565;11.42924
3;2.44152;10.72452
4;2.42020;10.41310
5;2.40471;10.18664
6;2.37834;10.01144
7;2.37052;9.72021
8;2.36491;9.64231
9;2.35991;9.56600
10;2.35542;9.47639
11;2.34382;9.43605
12;2.34051;9.36299
13;2.33811;9.31377
14;2.33601;9.27359
15;2.33405;9.25589
16;2.32842;9.22096
17;2.32701;9.20194
18;2.32566;9.19489
19;2.32478;9.17089
20;2.32382;9.16675
21;2.32097;9.13836
22;2.32028;9.11203
23;2.31962;9.10640
24;2.31908;9.09658
25;2.31859;9.08177
26;2.31722;9.10927
27;2.31671;9.08550
28;2.31663;9.08576
29;2.31641;9.06243
30;2.31617;9.06736
