#conf:ProWaveNet_30epochs_0.001lr_9449trainsize_498validsize
Epoch;Train_loss;Valid_loss
1;2.00371;29.12665
2;1.79713;6.47785
3;1.72200;5.88359
4;1.66919;5.52316
5;1.61612;5.27435
6;1.53211;5.00399
7;1.49327;4.61163
8;1.45654;4.44407
9;1.41988;4.30241
10;1.38184;4.15377
11;1.32317;4.00601
12;1.29788;3.78031
13;1.27446;3.69961
14;1.25137;3.61449
15;1.22781;3.53281
16;1.19169;3.46223
17;1.17720;3.33686
18;1.16376;3.29311
19;1.15063;3.24900
20;1.13775;3.20815
21;1.11798;3.16564
22;1.11092;3.11137
23;1.10459;3.09119
24;1.09860;3.07241
25;1.09289;3.05589
26;1.08301;3.03934
27;1.07992;3.00958
28;1.07713;3.00102
29;1.07447;2.99309
30;1.07192;2.98542
