#conf:ProLSTM_30epochs_0.001lr_5trainsize_25validsize
Epoch;Train_loss;Valid_loss
0;3.36773;29.96715
1;3.17810;27.23154
2;2.98175;20.33355
3;2.93276;18.98112
4;2.92464;18.64385
5;2.91258;18.42260
6;2.90831;18.30530
7;2.90683;18.25653
8;2.90543;18.24903
9;2.90097;18.21224
10;2.89928;18.18299
11;2.89789;18.16859
12;2.89707;18.15863
13;2.89528;18.14319
14;2.89518;18.12584
15;2.89474;18.11727
16;2.89439;18.11170
17;2.89493;18.10457
18;2.89334;18.10085
19;2.89369;18.09145
20;2.89156;18.08684
21;2.89232;18.08069
22;2.89130;18.07625
23;2.89026;18.07596
24;2.89188;18.06919
25;2.89200;18.06695
26;2.89099;18.06572
27;2.88996;18.06557
28;2.89031;18.06538
29;2.88960;18.06400
