#conf:ProLSTM_30epochs_0.001lr_9449trainsize_498validsize
Epoch;Train_loss;Valid_loss
1;2.35705;30.04600
2;2.24530;8.47321
3;2.47731;8.19022
4;2.80414;16.65713
5;2.54510;15.51098
6;2.24691;10.23428
7;2.26867;8.71517
8;2.13999;8.24879
9;2.09547;8.33895
10;2.28672;7.75114
11;2.22859;14.83349
12;2.34013;7.54902
13;2.35302;13.21229
14;2.06419;8.04057
15;2.04040;7.46541
16;2.02398;7.38641
17;2.01748;7.31639
18;2.01254;7.25747
19;2.00745;7.24690
20;2.00367;7.20367
21;1.99704;7.15540
22;1.99487;7.12871
23;1.99302;7.13380
24;1.99068;7.10158
25;1.98900;7.08267
26;1.98572;7.07937
27;1.98451;7.05604
28;1.98347;7.04834
29;1.98247;7.04962
30;1.98170;7.04625
